value,cause,race,county,upper,samples
7.034891653923529,_all,1,301,1206.2260963014255,1
7.092593021257219,_all,1,301,1206.2260963014255,2
7.0624586505631886,_all,1,301,1206.2260963014255,3
7.021197026724845,_all,1,301,1206.2260963014255,4
6.925303190049305,_all,1,301,1206.2260963014255,5
6.979400850315425,_all,1,301,1206.2260963014255,6
7.035733384898971,_all,1,301,1206.2260963014255,7
7.021404963274263,_all,1,301,1206.2260963014255,8
6.98738327810394,_all,1,301,1206.2260963014255,9
7.066729374009384,_all,1,301,1206.2260963014255,10
7.147830949213343,_all,1,301,1206.2260963014255,11
7.049172959152472,_all,1,301,1206.2260963014255,12
6.979103395318418,_all,1,301,1206.2260963014255,13
7.064262422452101,_all,1,301,1206.2260963014255,14
7.090877799882164,_all,1,301,1206.2260963014255,15
7.11363258728862,_all,1,301,1206.2260963014255,16
7.029821945758589,_all,1,301,1206.2260963014255,17
7.025854713532729,_all,1,301,1206.2260963014255,18
7.076876195779888,_all,1,301,1206.2260963014255,19
7.2172257468869745,_all,1,301,1206.2260963014255,20
7.123066191706513,_all,1,301,1206.2260963014255,21
6.927765518350515,_all,1,301,1206.2260963014255,22
7.209644503736143,_all,1,301,1206.2260963014255,23
6.9204755397199,_all,1,301,1206.2260963014255,24
7.148752926325503,_all,1,301,1206.2260963014255,25
7.146983601539995,_all,1,301,1206.2260963014255,26
7.061234221481605,_all,1,301,1206.2260963014255,27
7.210072469979159,_all,1,301,1206.2260963014255,28
6.961511584110311,_all,1,301,1206.2260963014255,29
6.989843180135522,_all,1,301,1206.2260963014255,30
7.006084179307542,_all,1,301,1206.2260963014255,31
7.076161630730542,_all,1,301,1206.2260963014255,32
7.0213235086318315,_all,1,301,1206.2260963014255,33
7.087261348224531,_all,1,301,1206.2260963014255,34
7.1125144696197244,_all,1,301,1206.2260963014255,35
7.088044586846571,_all,1,301,1206.2260963014255,36
7.214734905410979,_all,1,301,1206.2260963014255,37
7.087968833894925,_all,1,301,1206.2260963014255,38
7.023334850999844,_all,1,301,1206.2260963014255,39
6.954992018918437,_all,1,301,1206.2260963014255,40
7.168922629790218,_all,1,301,1206.2260963014255,41
7.146698417237807,_all,1,301,1206.2260963014255,42
6.990428347527835,_all,1,301,1206.2260963014255,43
6.983613783187017,_all,1,301,1206.2260963014255,44
6.952877546511078,_all,1,301,1206.2260963014255,45
6.946168016730882,_all,1,301,1206.2260963014255,46
7.027285530066066,_all,1,301,1206.2260963014255,47
7.017672359905108,_all,1,301,1206.2260963014255,48
7.221874413662387,_all,1,301,1206.2260963014255,49
6.886820684536106,_all,1,301,1206.2260963014255,50
7.0110712921434395,_all,1,301,1206.2260963014255,51
7.247889578785658,_all,1,301,1206.2260963014255,52
6.997286339985671,_all,1,301,1206.2260963014255,53
7.041191100840644,_all,1,301,1206.2260963014255,54
7.011684688346025,_all,1,301,1206.2260963014255,55
7.056927568030328,_all,1,301,1206.2260963014255,56
7.047499366036427,_all,1,301,1206.2260963014255,57
6.904384232324278,_all,1,301,1206.2260963014255,58
7.141478339432295,_all,1,301,1206.2260963014255,59
7.063139642896583,_all,1,301,1206.2260963014255,60
7.070222264901095,_all,1,301,1206.2260963014255,61
7.073998363720327,_all,1,301,1206.2260963014255,62
6.973651347914084,_all,1,301,1206.2260963014255,63
7.076666002403901,_all,1,301,1206.2260963014255,64
7.087836310426895,_all,1,301,1206.2260963014255,65
7.171373205290737,_all,1,301,1206.2260963014255,66
7.090957166423707,_all,1,301,1206.2260963014255,67
7.067277065648415,_all,1,301,1206.2260963014255,68
7.15101909759499,_all,1,301,1206.2260963014255,69
7.127595245247218,_all,1,301,1206.2260963014255,70
7.150904830312791,_all,1,301,1206.2260963014255,71
7.062827467912385,_all,1,301,1206.2260963014255,72
7.073680057905499,_all,1,301,1206.2260963014255,73
7.176604501611036,_all,1,301,1206.2260963014255,74
7.293935699567155,_all,1,301,1206.2260963014255,75
7.135939052373537,_all,1,301,1206.2260963014255,76
7.006875387871565,_all,1,301,1206.2260963014255,77
7.048322526841464,_all,1,301,1206.2260963014255,78
7.03635771139401,_all,1,301,1206.2260963014255,79
7.053496931683116,_all,1,301,1206.2260963014255,80
7.057639170234807,_all,1,301,1206.2260963014255,81
7.084686186292218,_all,1,301,1206.2260963014255,82
6.988315366230814,_all,1,301,1206.2260963014255,83
7.277139449148112,_all,1,301,1206.2260963014255,84
6.987613884952193,_all,1,301,1206.2260963014255,85
7.126179055807034,_all,1,301,1206.2260963014255,86
6.8784445902522915,_all,1,301,1206.2260963014255,87
6.952949605188309,_all,1,301,1206.2260963014255,88
6.8636419759988705,_all,1,301,1206.2260963014255,89
7.163420111098858,_all,1,301,1206.2260963014255,90
6.999736392936656,_all,1,301,1206.2260963014255,91
7.003767492820045,_all,1,301,1206.2260963014255,92
7.1542792498968435,_all,1,301,1206.2260963014255,93
6.921680683117644,_all,1,301,1206.2260963014255,94
7.2090969406195935,_all,1,301,1206.2260963014255,95
7.1096228946474955,_all,1,301,1206.2260963014255,96
6.98116438401088,_all,1,301,1206.2260963014255,97
7.043370171405016,_all,1,301,1206.2260963014255,98
6.978905755343423,_all,1,301,1206.2260963014255,99
6.9885795290619175,_all,1,301,1206.2260963014255,100
15.060604078252926,_all,1,302,2871.6608306095013,1
15.294507720668625,_all,1,302,2871.6608306095013,2
15.3549689077933,_all,1,302,2871.6608306095013,3
15.110798745170886,_all,1,302,2871.6608306095013,4
15.200908930167495,_all,1,302,2871.6608306095013,5
15.081086490943909,_all,1,302,2871.6608306095013,6
15.346387913415752,_all,1,302,2871.6608306095013,7
15.068904715028044,_all,1,302,2871.6608306095013,8
15.184331133267658,_all,1,302,2871.6608306095013,9
15.36939117563874,_all,1,302,2871.6608306095013,10
15.427870191965695,_all,1,302,2871.6608306095013,11
15.104122929735173,_all,1,302,2871.6608306095013,12
15.172740244909235,_all,1,302,2871.6608306095013,13
15.216686317144593,_all,1,302,2871.6608306095013,14
15.432018056377087,_all,1,302,2871.6608306095013,15
15.41469889925121,_all,1,302,2871.6608306095013,16
15.103930270738331,_all,1,302,2871.6608306095013,17
15.117117022490543,_all,1,302,2871.6608306095013,18
15.372704188441285,_all,1,302,2871.6608306095013,19
15.73685191139173,_all,1,302,2871.6608306095013,20
15.48369045585584,_all,1,302,2871.6608306095013,21
