value,cause,race,county,upper
6.65920026139822,_all,0,531,1125.2016812468103
3.6121845436610247,_comm,0,531,1125.2016812468103
0.7890883262997039,_inj,0,531,1125.2016812468103
2.2136819146442046,_ncd,0,531,1125.2016812468103
1.3194647370827142,_all,1,531,267.85944459715023
0.6989474957399369,_comm,1,531,267.85944459715023
0.1960881866814692,_inj,1,531,267.85944459715023
0.4822789351803071,_ncd,1,531,267.85944459715023
0.2419107544594841,_all,2,531,27.842021123001278
0.08317258306950745,_comm,2,531,27.842021123001278
0.031735471084429916,_inj,2,531,27.842021123001278
0.061701059993509805,_ncd,2,531,27.842021123001278
0.02527813962459468,_all,3,531,3.8402787755863828
0.014823345529614186,_comm,3,531,3.8402787755863828
0.0048193185436832585,_inj,3,531,3.8402787755863828
0.009441405738598104,_ncd,3,531,3.8402787755863828
4.171821646339802,_all,4,531,490.5956135811605
2.259746590232065,_comm,4,531,490.5956135811605
0.27288797406414805,_inj,4,531,490.5956135811605
1.4292136023247484,_ncd,4,531,490.5956135811605
2.6877532033848066,_all,7,531,335.064323169912
1.0728347571610293,_comm,7,531,335.064323169912
0.16143506137692326,_inj,7,531,335.064323169912
1.023256756584878,_ncd,7,531,335.064323169912
33.66021147340043,_all,0,532,6331.659631248049
23.103288049286146,_comm,0,532,6331.659631248049
2.670147630764893,_inj,0,532,6331.659631248049
11.456144533703773,_ncd,0,532,6331.659631248049
7.462346122501541,_all,1,532,1559.1531828880716
4.399199410868352,_comm,1,532,1559.1531828880716
0.6727038903830738,_inj,1,532,1559.1531828880716
2.841325407071715,_ncd,1,532,1559.1531828880716
2.109803486122772,_all,2,532,305.30216265911747
1.1994618758418683,_comm,2,532,305.30216265911747
0.16182946205393695,_inj,2,532,305.30216265911747
0.5828750056257174,_ncd,2,532,305.30216265911747
0.12884853353371492,_all,3,532,14.401045408448935
0.079867743355448,_comm,3,532,14.401045408448935
0.008471932125136857,_inj,3,532,14.401045408448935
0.05852277076798923,_ncd,3,532,14.401045408448935
23.43693675562314,_all,4,532,3178.7907564916286
16.432199512928257,_comm,4,532,3178.7907564916286
1.1971636811556439,_inj,4,532,3178.7907564916286
8.069075287873229,_ncd,4,532,3178.7907564916286
9.53111601867942,_all,7,532,1274.0124838007825
4.485659846070617,_comm,7,532,1274.0124838007825
0.37442716175023494,_inj,7,532,1274.0124838007825
3.8492518638520536,_ncd,7,532,1274.0124838007825
2.1834729832952746,_all,0,533,409.94975929384634
1.16111938760596,_comm,0,533,409.94975929384634
0.21770229953262368,_inj,0,533,409.94975929384634
0.7381361946912791,_ncd,0,533,409.94975929384634
0.565880051972722,_all,1,533,120.96878143097109
0.30638786475011304,_comm,1,533,120.96878143097109
0.06868305316118828,_inj,1,533,120.96878143097109
0.21027887822696695,_ncd,1,533,120.96878143097109
0.05031772274264873,_all,2,533,6.720487857276171
0.018888641318717023,_comm,2,533,6.720487857276171
0.006632787704693856,_inj,2,533,6.720487857276171
0.012555128070357453,_ncd,2,533,6.720487857276171
0.005367316646183361,_all,3,533,0.9600696938965957
0.004511093834667617,_comm,3,533,0.9600696938965957
0.0007048684189466254,_inj,3,533,0.9600696938965957
0.0022022025920951003,_ncd,3,533,0.9600696938965957
1.3998258421618957,_all,4,533,190.09379939152598
0.7502018807760364,_comm,4,533,190.09379939152598
0.07821399731657024,_inj,4,533,190.09379939152598
0.4863203829702533,_ncd,4,533,190.09379939152598
0.6136571647900999,_all,7,533,91.2066209201766
0.2592151549434697,_comm,7,533,91.2066209201766
0.04730600962509084,_inj,7,533,91.2066209201766
0.21732884498066718,_ncd,7,533,91.2066209201766
5.061538740860587,_all,0,534,949.5089272637333
2.1760559378409394,_comm,0,534,949.5089272637333
0.5693066243870764,_inj,0,534,949.5089272637333
1.7033731245838297,_ncd,0,534,949.5089272637333
1.286936900603626,_all,1,534,286.10076878118554
0.5479151860144265,_comm,1,534,286.10076878118554
0.194745542722204,_inj,1,534,286.10076878118554
0.46691487131447634,_ncd,1,534,286.10076878118554
0.12060370455884212,_all,2,534,17.281254490138725
0.041862878269064374,_comm,2,534,17.281254490138725
0.017326373672017722,_inj,2,534,17.281254490138725
0.03189583042716382,_ncd,2,534,17.281254490138725
0.012049335771487514,_all,3,534,1.9201393877931914
0.008405434850372161,_comm,3,534,1.9201393877931914
0.0018419219321238998,_inj,3,534,1.9201393877931914
0.004589905975824792,_ncd,3,534,1.9201393877931914
3.5266491277837995,_all,4,534,456.033104600883
1.7011932920332202,_comm,4,534,456.033104600883
0.20783320070166933,_inj,4,534,456.033104600883
1.2244494563582276,_ncd,4,534,456.033104600883
1.2100895892948849,_all,7,534,188.17366000373278
0.41938203063880247,_comm,7,534,188.17366000373278
0.07381775052342782,_inj,7,534,188.17366000373278
0.4673496062173169,_ncd,7,534,188.17366000373278
